Policy_ID,Status,Order,Name,Source_policies,Energy_sector,Promoting_technologies,Instrument,Administrative_touchpoint
I_01,I,1,Carbon tax - thermal fuels & natural gas,PMu4,Heating,General,Tax,Large Corporations & SMEs
N_02,N,2,Carbon tax - motor fuels,Mob4,Transport,General,Tax,Large Corporations & SMEs
I_03,I,3,Reimbursement of the carbon tax for CHP (nat gas),PMu5,Electricity,CHP & CCGT,Fiscal exemption,Large Corporations & SMEs
I_04,I,4,Mineral oil tax - thermal fuels & natural gas,PMu14 & PMu15,Heating,General,Tax,Large Corporations & SMEs
I_05,I,5,Mineral oil tax - motor fuels,PMu14 & PMu15 & PMu16,Transport,General,Tax,Large Corporations & SMEs
I_06,I,6,ETS - Installations >= 20 MW,PMu3,Electricity,General,ETS,Large Corporations
N_07,N,7,Carbon removal for fossil electricity generation plants,PIn1+,Electricity,CHP & CCGT,Obligation,Large Corporations
N_08,N,8,P+D subsidy on DACCS,Dec5,Electricity,CHP & CCGT,Subsidy,Large Corporations & SMEs
N_09,N,9,Subsidy on CO2 transport and storage infrastructure,Dec7,Electricity,CHP & CCGT,Subsidy,Large Corporations
I_10,I,10,Subisidy on district heat connection,PBu3 & PBu4,Heating,General,Subsidy,All Citizens & SMEs
I_11,I,11,Subsidy on the heat distribution system,PBu3 & PBu4,Heating,General,Subsidy,All Citizens & SMEs
I_12,I,12,Subsidy on heat pumps,PBu3 & PBu4,Heating,HP,Subsidy,All Citizens & SMEs
I_13,I,13,Subsidy on wood heaters,PBu3 & PBu4,Heating,Boiler,Subsidy,All Citizens & SMEs
I_14,I,14,Ban on gas boilers,EnEf3,Heating,General,Ban,All Citizens & SMEs & Large Corporations
I_15,I,15,Ban on nuclear power plants,PEl1,Electricity,General,Ban,Large Corporations
I_16,I,16,One-off remuneration (EIV) for PV,PEl10,Electricity,PV & Wind,Subsidy,All Citizens & SMEs & Large Corporations
I_17,I,17,High one-off remuneration (EIV) for PV with auctions,PEl10,Electricity,PV & Wind,Subsidy,Large Corporations & SMEs
I_18,I,18,Sliding market premium (GMP) for PV with auctions,PEl11,Electricity,PV & Wind,Subsidy,Large Corporations & SMEs
