Sector,Technology,EP2050+,MIX,REMIX,H2
Heating,Biomass_Boiler,32.7,0,18.2,34.9
Heating,Heat_Pump,24.3,62.7,41.2,5.9
Heating,Methane_Boiler,5.7,5.7,5.7,21.9
Heating,CHP_waste_heating,6.1,6.1,6.1,6.1
Heating,CHP_Methane_heating,2.6,0,0,2.6
Electricity,CCGT_Ren_Methane,0,0,4.3,0
Electricity,CHP_waste_electricity,2.7,2.7,2.7,2.7
Electricity,CHP_Methane_electricity,2.5,0,0,2.5
Electricity,Hydro_reservoir,16.1,17.4,16.1,18.3
Electricity,Hydro_run_of,15.5,15.5,15.5,15.5
Electricity,PV_Roof,33.6,30.2,30.3,33.6
Electricity,Pumped_Hydro,5.7,7.9,6.7,6.1
Electricity,Wind,4,7.3,8,4.1
Electricity,CCGT_Gas_DACCS,0,12.7,0,0
Electricity,Alpine_PV,0,0,7.1,0
Transport,Heavy_EV,3.2,3.2,3.2,0
Transport,Heavy_FCEV,0,0,0,3.2
Transport,Light_EV,74.8,74.8,74.8,69.2
Transport,Light_FCEV,0,0,0,5.6
