Sector,Technology,EP2050+,MIX,REMIX,H2
Heating,Biomass_Boiler,9.49,0,5.34,9.77
Heating,Heat_Pump,6.11,16.5,10.92,0.83
Heating,Methane_Boiler,0.65,0.65,0.65,5.55
Heating,CHP_waste_heating,0.21,0.21,0.21,0.21
Heating,CHP_Methane_heating,0.35,0,0,0.35
Electricity,CCGT_Ren_Methane,0,0,1.38,0
Electricity,CHP_waste_electricity,0.094,0.094,0.094,0.094
Electricity,CHP_Methane_electricity,0.33,0,0,0.33
Electricity,Hydro_reservoir,8.98,8.98,8.98,8.98
Electricity,Hydro_run_of,4.07,4.07,4.07,4.07
Electricity,PV_Roof,37.51,33.76,33.76,37.51
Electricity,Pumped_Hydro,5.12,5.12,5.12,5.12
Electricity,Wind,2.22,3.67,4.45,2.22
Electricity,CCGT_Gas_DACCS,0,3.3998,0,0
Electricity,Alpine_PV,0,0,4.13,0
Transport,Heavy_EV,3.2,3.2,3.2,0
Transport,Heavy_FCEV,0,0,0,3.2
Transport,Light_EV,74.79,74.79,74.79,69.22
Transport,Light_FCEV,0,0,0,5.57
