Technology,Acceptance,Cost_current,Cost_2050
Biomass_Boiler,0.66,251.4809371,251.4809371
Heat_Pump,0.59,558.7070801,387.462732
Methane_Boiler,0.66,20311.52829,12410.29373
CHP_waste_heating,1,58.53668847,58.53668847
CHP_Methane_heating,0.66,3410.414887,2184.361247
CCGT_Ren_Methane,0.66,283.720996,283.720996
CHP_waste_electricity,1,39.91699983,39.91699983
CHP_Methane_electricity,0.66,1737.068782,1111.80622
Hydro_reservoir,0.83,173.6672895,173.6672895
Hydro_run_of,0.83,144.8031405,144.8031405
PV_Roof,0.9,853.2454705,207.137206
Pumped_Hydro,0.83,20.12635358,20.12635358
Wind,0.6,363.7564436,159.2078746
CCGT_Gas_DACCS,0.375,318.1627497,295.3471495
Alpine_PV,0.56,624.5734128,258.3067379
Heavy_EV,0.405,1504.1547,1120.580278
Heavy_FCEV,0.08,3501.717271,906.7121447
Light_EV,0.405,1897.985568,1452.696277
Light_FCEV,0.05,3338.740199,1911.9592
