Policy_ID,Biomass_Boiler,Heat_Pump,Methane_Boiler,CHP_waste_heating,CHP_Methane_heating,CCGT_Ren_Methane,CHP_waste_electricity,CHP_Methane_electricity,Hydro_reservoir,Hydro_run_of,PV_Roof,Pumped_Hydro,Wind,CCGT_Gas_DACCS,Alpine_PV,Heavy_EV,Heavy_FCEV,Light_EV,Light_FCEV
I_01,0.2,0.2,0.2,0.14,0.1,,0.06,0.1,,,,,,,,,,,
N_02,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25
I_03,,,,,0.5,,,0.5,,,,,,,,,,,
I_04,0.2,0.2,0.2,0.14,0.1,,0.06,0.1,,,,,,,,,,,
I_05,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25
I_06,,,,0.07,0.05,0.1,0.03,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
N_07,,,,,,,,,,,,,,1,,,,,
N_08,,,,,,,,,,,,,,1,,,,,
N_09,,,0.25,0.17,0.13,,0.08,0.12,,,,,,0.25,,,,,
I_10,0.2,0.2,0.2,0.14,0.1,,0.06,0.1,,,,,,,,,,,
I_11,0.2,0.2,0.2,0.14,0.1,,0.06,0.1,,,,,,,,,,,
I_12,,1,,,,,,,,,,,,,,,,,
I_13,1,,,,,,,,,,,,,,,,,,
I_14,0.2,0.2,0.2,0.14,0.1,,0.06,0.1,,,,,,,,,,,
I_15,,,,0.07,0.05,0.1,0.03,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
I_16,,,,,,,,,,,0.5,,,,0.5,,,,
I_17,,,,,,,,,,,0.5,,,,0.5,,,,
I_18,,,,,,,,,,,0.5,,,,0.5,,,,
I_19,,,,,,,,,,,0.5,,,,0.5,,,,
I_20,,,,,,,,,,,1,,,,,,,,
N_21,,,,,,,,,,,,,,,1,,,,
I_22,,,,,,1,,,,,,,,,,,,,
I_23,,,,,,1,,,,,,,,,,,,,
I_24,,,,,,1,,,,,,,,,,,,,
I_25,,,,,,,,,0.33,0.33,,0.33,,,,,,,
I_26,,,,,,,,,0.33,0.33,,0.33,,,,,,,
I_27,,,,,,,,,0.33,0.33,,0.33,,,,,,,
I_28,,,,,,,,,,,,,1,,,,,,
I_29,,,,,,,,,,,,,1,,,,,,
I_30,,,,,,,,,,,,,1,,,,,,
N_31,,,0.5,,0.26,,,0.24,,,,,,,,,,,
N_32,,,0.5,,0.26,,,0.24,,,,,,,,,,,
I_33,,,0.5,,0.26,,,0.24,,,,,,,,,,,
I_34,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25
I_35,,,,,,,,,,,,,,,,,,0.5,0.5
I_36,,,,,,,,,,,,,,,,0.5,0.5,,
I_37,,,,,,,,,,,,,,,,0.5,0.5,,
I_38,,,,,,,,,,,,,,,,0.5,0.5,,
I_39,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25
N_40,,,,,,,,,,,,,,,,,0.5,,0.5
N_41,,,,,,,,,,,,,,,,,,,1
N_42,,,,,,,,,,,,,,,,,,1,
I_43,,,,,,,,,,,,,,,,1,,,
I_44,,,,,,,,,,,,,,,,1,,,
I_45,,,,,,,,,,,,,,,,,,1,
N_46,,,,,,,,,,,,,,,,0.5,,0.5,
N_47,,,,,,,,,,,,,,,,,0.5,,0.5
N_48,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25
