Policy_ID,Cost_carbon_abatement,Social_acceptance_tech,Deployment_difficulty,Acceptance_policy_instrument,Perceived_equity,Administrative_burden
I_01,4749.6817847156,0.714,0.19637606353402784,1,4,3
N_02,2560.6494345,0.23500000000000004,0.24999999999999997,1,4,3
I_03,2573.7418345,0.66,0.03381277604674828,4,2,3
I_04,4749.6817847156,0.714,0.19637606353402784,1,4,3
I_05,2560.6494345,0.23500000000000004,0.24999999999999997,1,4,3
I_06,540.8748472558,0.7245,0.10388102057302322,3,4,1
N_07,318.1627497,0.375,0.0,3,4,1
N_08,318.1627497,0.375,0.0,5,2,3
N_09,5822.369546101299,0.6737500000000001,0.04565763384005287,5,1,1
I_10,4749.6817847156,0.714,0.19637606353402784,5,3,5
I_11,4749.6817847156,0.714,0.19637606353402784,5,3,5
I_12,558.7070801,0.59,0.34033613445378147,5,3,5
I_13,251.4809371,0.66,0.4579831932773109,5,3,5
I_14,4749.6817847156,0.714,0.19637606353402784,2,3,5
I_15,540.8748472558,0.7245,0.10388102057302322,2,4,1
I_16,738.90944165,0.73,0.2097378277153558,5,3,5
I_17,738.90944165,0.73,0.2097378277153558,5,2,3
I_18,738.90944165,0.73,0.2097378277153558,5,2,3
I_19,738.90944165,0.73,0.2097378277153558,4,4,5
I_20,853.2454705,0.9,0.4194756554307116,4,3,5
N_21,624.5734128,0.56,0.0,5,1,1
I_22,283.720996,0.66,0.0,5,2,3
I_23,283.720996,0.66,0.0,5,2,3
I_24,283.720996,0.66,0.0,5,2,3
I_25,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3
I_26,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3
I_27,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3
I_28,363.7564436,0.6,0.049937578027465665,5,2,3
I_29,363.7564436,0.6,0.049937578027465665,5,2,3
I_30,363.7564436,0.6,0.049937578027465665,5,2,3
N_31,11459.3685233,0.66,0.0568743902055204,5,2,3
N_32,11459.3685233,0.66,0.0568743902055204,5,1,1
I_33,11459.3685233,0.66,0.0568743902055204,4,3,1
I_34,2560.6494345,0.23500000000000004,0.24999999999999997,3,4,1
I_35,2618.3628835,0.2275,0.47948717948717945,3,3,5
I_36,2502.9359855000002,0.24250000000000002,0.020512820512820513,3,3,3
I_37,2502.9359855000002,0.24250000000000002,0.020512820512820513,3,3,3
I_38,2502.9359855000002,0.24250000000000002,0.020512820512820513,4,2,3
I_39,2560.6494345,0.23500000000000004,0.24999999999999997,4,4,5
N_40,3420.2287349999997,0.065,0.0,4,4,5
N_41,3338.740199,0.05,0.0,5,3,5
N_42,1897.985568,0.405,0.9589743589743589,5,3,5
I_43,1504.1547,0.405,0.041025641025641026,5,2,3
I_44,1504.1547,0.405,0.041025641025641026,5,3,3
I_45,1897.985568,0.405,0.9589743589743589,5,3,5
N_46,1701.070134,0.405,0.49999999999999994,3,3,3
N_47,3420.2287349999997,0.065,0.0,5,1,1
N_48,2560.6494345,0.23500000000000004,0.24999999999999997,2,3,5
