Policy_ID,Cost_carbon_abatement,Social_acceptance_tech,Deployment_difficulty,Acceptance_policy_instrument,Perceived_equity,Administrative_burden,Cost_gap
I_01,2950.0543828956,0.714,0.19637606353402784,1,4,3,1799.6274018199997
N_02,1347.986974925,0.23500000000000004,0.24999999999999997,1,4,3,1212.6624595750002
I_03,1648.0837334999999,0.66,0.03381277604674828,4,2,3,925.6581010000002
I_04,2950.0543828956,0.714,0.19637606353402784,1,4,3,1799.6274018199997
I_05,1347.986974925,0.23500000000000004,0.24999999999999997,1,4,3,1212.6624595750002
I_06,324.3351262958,0.7245,0.10388102057302322,3,4,1,216.53972095999995
N_07,295.3471495,0.375,0.0,3,4,1,22.815600200000006
N_08,295.3471495,0.375,0.0,5,2,3,22.815600200000006
N_09,3606.9385254113,0.6737500000000001,0.04565763384005287,5,1,1,2215.4310206899995
I_10,2950.0543828956,0.714,0.19637606353402784,5,3,5,1799.6274018199997
I_11,2950.0543828956,0.714,0.19637606353402784,5,3,5,1799.6274018199997
I_12,387.462732,0.59,0.34033613445378147,5,3,5,171.24434809999997
I_13,251.4809371,0.66,0.4579831932773109,5,3,5,0.0
I_14,2950.0543828956,0.714,0.19637606353402784,2,3,5,1799.6274018199997
I_15,324.3351262958,0.7245,0.10388102057302322,2,4,1,216.53972095999995
I_16,232.72197194999998,0.73,0.2097378277153558,5,3,5,506.18746969999995
I_17,232.72197194999998,0.73,0.2097378277153558,5,2,3,506.18746969999995
I_18,232.72197194999998,0.73,0.2097378277153558,5,2,3,506.18746969999995
I_19,232.72197194999998,0.73,0.2097378277153558,4,4,5,506.18746969999995
I_20,207.137206,0.9,0.4194756554307116,4,3,5,646.1082645
N_21,258.3067379,0.56,0.0,5,1,1,366.26667490000006
I_22,283.720996,0.66,0.0,5,2,3,0.0
I_23,283.720996,0.66,0.0,5,2,3,0.0
I_24,283.720996,0.66,0.0,5,2,3,0.0
I_25,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3,0.0
I_26,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3,0.0
I_27,112.86559452666667,0.8300000000000001,0.15522263836870578,5,2,3,0.0
I_28,159.2078746,0.6,0.049937578027465665,5,2,3,204.54856900000001
I_29,159.2078746,0.6,0.049937578027465665,5,2,3,204.54856900000001
I_30,159.2078746,0.6,0.049937578027465665,5,2,3,204.54856900000001
N_31,7039.9142820199995,0.66,0.0568743902055204,5,2,3,4419.45424128
N_32,7039.9142820199995,0.66,0.0568743902055204,5,1,1,4419.45424128
I_33,7039.9142820199995,0.66,0.0568743902055204,4,3,1,4419.45424128
I_34,1347.986974925,0.23500000000000004,0.24999999999999997,3,4,1,1212.6624595750002
I_35,1682.3277385000001,0.2275,0.47948717948717945,3,3,5,936.0351449999998
I_36,1013.6462113499999,0.24250000000000002,0.020512820512820513,3,3,3,1489.2897741500003
I_37,1013.6462113499999,0.24250000000000002,0.020512820512820513,3,3,3,1489.2897741500003
I_38,1013.6462113499999,0.24250000000000002,0.020512820512820513,4,2,3,1489.2897741500003
I_39,1347.986974925,0.23500000000000004,0.24999999999999997,4,4,5,1212.6624595750002
N_40,1409.33567235,0.065,0.0,4,4,5,2010.8930626499996
N_41,1911.9592,0.05,0.0,5,3,5,1426.7809989999998
N_42,1452.696277,0.405,0.9589743589743589,5,3,5,445.28929100000005
I_43,1120.580278,0.405,0.041025641025641026,5,2,3,383.57442200000014
I_44,1120.580278,0.405,0.041025641025641026,5,3,3,383.57442200000014
I_45,1452.696277,0.405,0.9589743589743589,5,3,5,445.28929100000005
N_46,1286.6382775,0.405,0.49999999999999994,3,3,3,414.4318565000001
N_47,1409.33567235,0.065,0.0,5,1,1,2010.8930626499996
N_48,1347.986974925,0.23500000000000004,0.24999999999999997,2,3,5,1212.6624595750002
