Iteration,Policy_ID,Rank,TOPSIS Score
0,I_01,37,0.5827644285117065
0,N_02,13,0.7414082727197282
0,I_03,21,0.6779603773649105
0,I_04,39,0.5792503286139629
0,I_05,9,0.7584798252182628
0,I_06,22,0.6750906391522464
0,N_07,3,0.8308755501332589
0,N_08,12,0.743862118096377
0,N_09,41,0.5760326492886105
0,I_10,38,0.5811494831684293
0,I_11,40,0.578930690339495
0,I_12,26,0.658160962356904
0,I_13,33,0.6051136490722001
0,I_14,42,0.5695034325697177
0,I_15,17,0.691783127075963
0,I_16,27,0.6546799345407363
0,I_17,34,0.6040109325299365
0,I_18,35,0.6026191263880017
0,I_19,28,0.6355159922319104
0,I_20,43,0.5411758001702219
0,N_21,16,0.7201948994054871
0,I_22,24,0.6747580215363113
0,I_23,24,0.6747580215363113
0,I_24,24,0.6747580215363113
0,I_25,31,0.6102442555593356
0,I_26,31,0.6102442555593356
0,I_27,31,0.6102442555593356
0,I_28,19,0.6818836331649583
0,I_29,19,0.6818836331649583
0,I_30,19,0.6818836331649583
0,N_31,48,0.460562660388216
0,N_32,46,0.4703101794196777
0,I_33,47,0.4694418150719389
0,I_34,10,0.7528913091867291
0,I_35,29,0.6334855931992186
0,I_36,5,0.814339005823039
0,I_37,5,0.814339005823039
0,I_38,4,0.8148279972016803
0,I_39,8,0.7701919847686974
0,N_40,2,0.8508724576277624
0,N_41,1,0.8533673349725645
0,N_42,45,0.4762502428867812
0,I_43,15,0.7217296368473104
0,I_44,11,0.7520189398373138
0,I_45,44,0.4775371361949503
0,N_46,36,0.59071419231578
0,N_47,7,0.7933726414099153
0,N_48,14,0.7326229379143107
1,I_01,37,0.5772421427598142
1,N_02,15,0.7205249208276737
1,I_03,25,0.6561662756123916
1,I_04,36,0.5813211398629985
1,I_05,13,0.7280123390723939
1,I_06,24,0.6710737062501573
1,N_07,1,0.8248007854185804
1,N_08,7,0.773167405744541
1,N_09,38,0.5772355250801413
1,I_10,40,0.572189227664523
1,I_11,42,0.5687501242713187
1,I_12,26,0.6471456790239773
1,I_13,35,0.5948269530253844
1,I_14,41,0.5719645228394449
1,I_15,23,0.6883597526429017
1,I_16,27,0.6461766667972753
1,I_17,29,0.622458764906169
1,I_18,33,0.6100639810077472
1,I_19,28,0.6337592544273563
1,I_20,43,0.5406162253475713
1,N_21,14,0.7205926477522735
1,I_22,21,0.689383411729817
1,I_23,21,0.689383411729817
1,I_24,21,0.689383411729817
1,I_25,31,0.6190584168990222
1,I_26,31,0.6190584168990222
1,I_27,31,0.6190584168990222
1,I_28,18,0.6998022029516529
1,I_29,18,0.6998022029516529
1,I_30,18,0.6998022029516529
1,N_31,45,0.4742862333216384
1,N_32,44,0.4783151722647542
1,I_33,46,0.47032927003589464
1,I_34,9,0.7460957916229776
1,I_35,34,0.6072962116449389
1,I_36,3,0.7937139969140851
1,I_37,3,0.7937139969140851
1,I_38,8,0.767055120132562
1,I_39,12,0.7293193568659752
1,N_40,5,0.7922330580899865
1,N_41,2,0.8092045142951897
1,N_42,48,0.46236423973072033
1,I_43,10,0.7436631000099964
1,I_44,16,0.7187534439135979
1,I_45,47,0.46420273556008357
1,N_46,39,0.5765935679344428
1,N_47,6,0.7766062047101261
1,N_48,11,0.7378361553646172
2,I_01,36,0.5862910136556144
2,N_02,8,0.7487471558404225
2,I_03,25,0.6631656755980537
2,I_04,37,0.5838245556293794
2,I_05,10,0.7377237491895055
2,I_06,24,0.6648392972039199
2,N_07,3,0.8243009466551352
2,N_08,9,0.7420504133738105
2,N_09,41,0.5633040443659323
2,I_10,40,0.5730334806360313
2,I_11,39,0.5748996524193914
2,I_12,26,0.6480430142343601
2,I_13,33,0.5935776131246301
2,I_14,42,0.548038470331748
2,I_15,17,0.6816977280123538
2,I_16,27,0.627295169069085
2,I_17,32,0.5960454563077834
2,I_18,34,0.592800633069826
2,I_19,28,0.6268693469278231
2,I_20,43,0.5246886203497475
2,N_21,15,0.6929501631006679
2,I_22,22,0.6690119749393407
2,I_23,22,0.6690119749393407
2,I_24,22,0.6690119749393407
2,I_25,30,0.6029326568473435
2,I_26,30,0.6029326568473435
2,I_27,30,0.6029326568473435
2,I_28,19,0.6773965665591287
2,I_29,19,0.6773965665591287
2,I_30,19,0.6773965665591287
2,N_31,45,0.4705714030413547
2,N_32,45,0.4705714030413547
2,I_33,44,0.49626373706351046
2,I_34,12,0.7217903088401527
2,I_35,38,0.5834631972865477
2,I_36,1,0.8312377318273038
2,I_37,1,0.8312377318273038
2,I_38,4,0.8046756449302863
2,I_39,14,0.7009926363070831
2,N_40,5,0.7835280950460034
2,N_41,6,0.7815499401516769
2,N_42,47,0.45489207452564845
2,I_43,13,0.7173936629505799
2,I_44,7,0.7749824809230836
2,I_45,48,0.4454577713479661
2,N_46,35,0.5915063016716967
2,N_47,11,0.730954971570442
2,N_48,16,0.6922936916783172
