Policy_ID,Relevance_MIX,Relevance_REMIX,Relevance_H2,Group_MIX,Group_REMIX,Group_H2
I_01,0.009203831345272204,-3.986613371940832e-05,-6.938893903907228e-18,Neutral,Neutral,Neutral
N_02,0.0,0.0,1.734723475976807e-17,Neutral,Neutral,Neutral
I_03,-0.03381277604674828,-0.03381277604674828,0.0,Weak negative,Weak negative,Neutral
I_04,0.009203831345272204,-3.986613371940832e-05,-6.938893903907228e-18,Neutral,Neutral,Neutral
I_05,0.0,0.0,1.734723475976807e-17,Neutral,Neutral,Neutral
I_06,0.016718597551380096,0.012973279199320174,0.0033707865168539305,Neutral,Neutral,Neutral
N_07,0.15855181023720347,0.0,0.0,Weak positive,Neutral,Neutral
N_08,0.15855181023720347,0.0,0.0,Weak positive,Neutral,Neutral
N_09,0.03115874064981797,-0.008479211909482894,0.056722689075630245,Neutral,Neutral,Weak positive
I_10,0.009203831345272204,-3.986613371940832e-05,-6.938893903907228e-18,Neutral,Neutral,Neutral
I_11,0.009203831345272204,-3.986613371940832e-05,-6.938893903907228e-18,Neutral,Neutral,Neutral
I_12,0.5378151260504203,0.23669467787114848,-0.25770308123249297,Strong positive,Strong positive,Strong negative
I_13,-0.4579831932773109,-0.20308123249299723,0.030812324929971928,Strong negative,Strong negative,Weak positive
I_14,0.009203831345272204,-3.986613371940832e-05,-6.938893903907228e-18,Neutral,Neutral,Neutral
I_15,0.016718597551380096,0.012973279199320174,0.0033707865168539305,Neutral,Neutral,Neutral
I_16,-0.02122347066167292,0.02372034956304618,0.0,Weak negative,Neutral,Neutral
I_17,-0.02122347066167292,0.02372034956304618,0.0,Weak negative,Neutral,Neutral
I_18,-0.02122347066167292,0.02372034956304618,0.0,Weak negative,Neutral,Neutral
I_19,-0.02122347066167292,0.02372034956304618,0.0,Weak negative,Neutral,Neutral
I_20,-0.04244694132334584,-0.04119850187265918,0.0,Weak negative,Weak negative,Neutral
N_21,0.0,0.08863920099875154,0.0,Neutral,Weak positive,Neutral
I_22,0.0,0.053682896379525585,0.0,Neutral,Weak positive,Neutral
I_23,0.0,0.053682896379525585,0.0,Neutral,Weak positive,Neutral
I_24,0.0,0.053682896379525585,0.0,Neutral,Weak positive,Neutral
I_25,0.014565126924677475,0.004161464835622139,0.010819808572617556,Neutral,Neutral,Neutral
I_26,0.014565126924677475,0.004161464835622139,0.010819808572617556,Neutral,Neutral,Neutral
I_27,0.014565126924677475,0.004161464835622139,0.010819808572617556,Neutral,Neutral,Neutral
I_28,0.04119850187265917,0.049937578027465665,0.0012484394506866372,Neutral,Weak positive,Neutral
I_29,0.04119850187265917,0.049937578027465665,0.0012484394506866372,Neutral,Weak positive,Neutral
I_30,0.04119850187265917,0.049937578027465665,0.0012484394506866372,Neutral,Weak positive,Neutral
N_31,-0.016958423818965788,-0.016958423818965788,0.11344537815126049,Neutral,Neutral,Strong positive
N_32,-0.016958423818965788,-0.016958423818965788,0.11344537815126049,Neutral,Neutral,Strong positive
I_33,-0.016958423818965788,-0.016958423818965788,0.11344537815126049,Neutral,Neutral,Strong positive
I_34,0.0,0.0,1.734723475976807e-17,Neutral,Neutral,Neutral
I_35,0.0,0.0,3.469446951953614e-17,Neutral,Neutral,Neutral
I_36,0.0,0.0,0.0,Neutral,Neutral,Neutral
I_37,0.0,0.0,0.0,Neutral,Neutral,Neutral
I_38,0.0,0.0,0.0,Neutral,Neutral,Neutral
I_39,0.0,0.0,1.734723475976807e-17,Neutral,Neutral,Neutral
N_40,0.0,0.0,0.056410256410256404,Neutral,Neutral,Weak positive
N_41,0.0,0.0,0.07179487179487179,Neutral,Neutral,Weak positive
N_42,0.0,0.0,-0.07179487179487172,Neutral,Neutral,Weak negative
I_43,0.0,0.0,-0.041025641025641026,Neutral,Neutral,Neutral
I_44,0.0,0.0,-0.041025641025641026,Neutral,Neutral,Neutral
I_45,0.0,0.0,-0.07179487179487172,Neutral,Neutral,Weak negative
N_46,0.0,0.0,-0.056410256410256376,Neutral,Neutral,Weak negative
N_47,0.0,0.0,0.056410256410256404,Neutral,Neutral,Weak positive
N_48,0.0,0.0,1.734723475976807e-17,Neutral,Neutral,Neutral
