Period,Criterion,Current_Weight,Min_Weight_No_Rank_Change,Max_Weight_No_Rank_Change,Allowed_Decrease,Allowed_Increase
2030_2040,Cost_carbon_abatement,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.0
2030_2040,Social_acceptance_tech,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.0,0.0
2030_2040,Deployment_difficulty,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.0
2030_2040,Acceptance_policy_instrument,0.05,0.05,0.09000000000000002,0.0,0.04000000000000002
2030_2040,Perceived_equity,0.18333333333333335,0.17833333333333334,0.18333333333333335,0.0050000000000000044,0.0
2030_2040,Administrative_burden,0.09166666666666666,0.09166666666666666,0.09666666666666666,0.0,0.0050000000000000044
2040_2050,Cost_carbon_abatement,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.0,0.0
2040_2050,Social_acceptance_tech,0.2605633802816901,0.2605633802816901,0.2605633802816901,0.0,0.0
2040_2050,Deployment_difficulty,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.0,0.0
2040_2050,Acceptance_policy_instrument,0.04225352112676056,0.0022535211267605635,0.04725352112676056,0.04,0.0049999999999999975
2040_2050,Perceived_equity,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.0,0.0
2040_2050,Administrative_burden,0.07746478873239436,0.07246478873239436,0.07746478873239436,0.0050000000000000044,0.0
2040_2050,Cost_gap,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.0,0.0
